FoodName,Calories_Kcal,Carbohydrate(g),Protein(g),Fat(g),Fiber(g),FoodType
daal,134,24.8,6.4,1,2.53,lunch
1 whole egg,79,0.4,6.9,5.2,0,snack
White Rice ,331,76,7,0.2,2,lunch
Basmati Rice,359,76.7,9.2,1,0.5,lunch
chana daal,380,60,22,6,18,lunch
moong dal,480,88,32,2,23.94,lunch
masoor dal,129,14.3,7.1,0,4.3,lunch
1 egg(boiled),85,0.7,6.9,5.8,0,snack
1 egg(fried),107,0.7,7.5,8.2,0,snack
cauliflower(mash),95,12.7,2.1,4.7,1.6,lunch
cauliflower(with potato),133,11.3,2.1,9.2,1.41,lunch
cauliflower(boiled),23,4.1,1.8,0.5,2.3,lunch
apple,58,13.6,0.4,0.2,2.8,breakfast
banana,89,22.8,1.1,0.3,2.6,breakfast
mango,60,15,0.8,0.4,1.6,breakfast
papaya,39,9.8,0.6,0.1,1.8,breakfast
avocado,190,1.9,2,19.5,3.4,breakfast
grape,69,18.1,0.7,0.2,0.9,breakfast
jackfruit,94,24,1.5,0.3,1.6,breakfast
watermelon,30,7.5,0.6,0.1,0.4,breakfast
peach,39,9.5,0.9,0.3,1.5,breakfast
pear,57,15.2,0.4,0.1,0.4,breakfast
lemon,50,7.6,0.9,0.7,4.9,breakfast
kiwi,61,14.9,1.4,0.7,2.7,breakfast
pomegrante,74,17,1,0.3,10,breakfast
guava,68,14.3,2.5,0.9,5.4,breakfast
barberry(Chutro),320,63.5,3.4,3.6,9.9,breakfast
orange,46,11.5,0.7,0.2,2.4,breakfast
black plum(Jaamun),45,12.1,0,0,1.52,breakfast
date,300,75,2.5,0,62.5,breakfast
lichi,66,17,0.8,0.4,1.3,breakfast
maushambi(Sweet Lemon),31,8.4,0,0.1,0,breakfast
muntalla(Kumquat),71,15.9,1.9,0.9,6.5,breakfast
dhido,237,44,8.4,3.4,3,lunch
gundruk,322,38,39,2,0,lunch
kodo ko dhido,383,84.2,7.8,1.3,0,lunch
fapar ko dhido,92,19.9,3.4,0.6,2.7,lunch
soybeans,446,30,36,20,9,lunch
sattu(corn),361,76.8,6.9,3.9,7.3,breakfast
sattu(chana),429,65.5,21.4,7.1,9,breakfast
semolina(suji),351,72.1,10.1,1.3,2.8,snack
khichadi,365,68.9,13.3,3.3,8.9,lunch
chana,345,66,19,6,12,snack
chana(curry),183,21.8,9.6,7.5,0,lunch
chana(dried),320,49.6,21.3,5.4,0,snack
pea(curry),92,13,2.9,3.8,0,lunch
pea(green),81,14.4,5.4,0.4,5.1,snack
beans,341,63.6,20.4,1.1,15.9,lunch
bakula,341,63.4,19.5,1.2,14.6,lunch
bakula(dried),245,32.5,26.1,2.1,0,lunch
bakula(fried),300,6.7,13.3,23.3,13.33,snack
bodi,96,13.8,7.5,0.8,3.23,lunch
lauka(raw),13,2.7,0.4,0.1,0,snack
lauka(curry),28,4.6,0.8,1.2,1.36,lunch
bhaanta(curry),105,7.1,2.1,8.4,0,lunch
bhaanta(fried),43,4.6,1.5,2.1,3,lunch
niuro,34,6,4.6,0.1,1,lunch
rajma,134,22.8,8.7,0.5,6.4,lunch
ghiraula,56,14,0.3,0.7,2.9,lunch
chamasur,39,5.5,2.6,0.7,1.1,lunch
mushroom,50,5.5,1.3,2.7,0.4,lunch
bhindi,77,12,3.2,1.7,0,lunch
mula,16,3.4,0.9,0,1.72,lunch
pumpkin,20,4.9,0.7,0.1,1.1,lunch
chichinda,58,11.8,2.4,0,1.18,lunch
pindalu,141,29.5,0.8,0.1,0,lunch
gaava,112,26,1.5,0.2,4.1,lunch
broccoli(cooked),35,7.2,2.4,0.4,3.3,lunch
broccoli(steamed),34,4.6,2.3,0,2.3,lunch
carrot,41,9.6,0.9,0.2,2.8,snack
gaanthye mula,25,5,1,0,3,lunch
cucumber,15,3.6,0.7,0.1,0.5,lunch
tarul,118,28,1.3,0,4,snack
halva(carrot),354,44,4.7,18.8,0,lunch
capsicum,25,4,2,0.2,0,lunch
spinach,23,3.6,2.9,0.4,2.2,lunch
chamasur ko saag,38,5.5,2.6,0.7,1.1,lunch
bethe ko saag,23,4.9,2.7,0.7,2.3,lunch
palungo ko saag,43,9.6,1.6,0.2,2.8,lunch
iskush ko saag,23,3.9,2,0.2,1.7,lunch
keraau ko munto,35,7.1,2.4,0,2.4,lunch
phaapar ko saag,120,24,6,1.9,6.8,lunch
raayo ko saag,27,4.7,2.9,0.2,3.2,lunch
coconut water,38,9,0.1,0,0.2,snack
coconut milk,169,1.5,1.2,0.3,0,breakfast
coconut,159,28.4,0,0.7,0.3,snack
salgam ko saag,42,8.4,3.6,0.1,3.6,lunch
sisnu,37,6.8,2.7,0.6,2.4,lunch
tori ko saag,27,4.7,2.9,0.5,3.2,lunch
kwati,110,20,7,10,6,lunch
pulao,250,50,10,2.6,20,lunch
khir,118,19.4,3.5,2.6,0.9,snack
milk(regular glass),77,7.9,5.8,9,0,lunch
dahi,88,18.6,2.6,0.4,0,lunch
ghee,135,0,0,15,0,lunch
honey,304,84.2,0.3,0,0.2,breakfast
rolled oats,379,67.7,13.2,6.5,10.1,snack
tea with sugar,40,7,1,1,0,breakfast
chicken,166,0,31.8,3.5,0,lunch
chicken breast with skin,125,1,23.8,3.1,0,lunch
chicken breast without skin(boiled),151,0,29,3,0,lunch
chicken(gravy),79,5.4,1.9,5.7,0.4,lunch
chicken broth,7,0.4,1,0.1,0.4,lunch
chicken(fried),291,10.6,20.3,18,1.4,lunch
chicken fried rice,132,21.1,5.3,2.6,0.9,snack
fried rice,161,31,4.7,2,1.1,snack
fried rice(pork),182,18.2,12.1,6.7,0.65,snack
fried rice(egg),144,24,3.4,3.5,1.52,snack
fried rice(buff),151,18.2,13.3,2.8,0.65,snack
fried rice(veg),110,18,1.9,3.2,0,snack
mutton,286,5,14,23,2.5,lunch
mutton(curry),130,1.6,12,5.9,0.4,lunch
mutton(soup),163,12.9,11.6,7.2,2.44,lunch
briyani(mutton),141,19.3,5.8,4.3,0.9,snack
briyani(chicken),220,30,8,8,3,snack
briyani(lamb),176,20.5,9.5,5.8,1.3,snack
lamb,225,0,17,17,1.9,lunch
buff,250,0,26,15,0,lunch
pork,163,0.4,23.3,7.6,0,lunch
peanut butter,599,16,25,47,6,snack
fish(fried),250,11,10,15,0.5,lunch
fish(steam),70,1,14,1.2,0,lunch
sandwich,271,24.4,10.8,13.9,0.8,snack
fish(soup),72,5.6,7.4,2.2,0,lunch
strawberry,29,5.1,1,0,2,breakfast
strawberry shake,113,18.9,3.4,2.8,0.3,snack
almonds,630,7,21,55.7,7.33,snack
chia seed,500,43.3,16.7,30,33.3,snack
walnut,610,13,15,57,0,snack
bread(white),244,43.9,10.7,3.2,9.2,snack
bread(brown),257,21.4,21.4,12.9,12.9,snack
cheese,483,46.7,6.7,26.7,3.3,lunch
dark chocolate,598,45.9,7.8,42.6,10.9,snack
barley(jau),361,78.3,10.3,1.8,7.1,lunch
